year,women_specific,ministry,scheme,expenditure
2018-19,Women Specific 30%,Ministry of Textiles,Development of Silk Industries,180.38
2018-19,Women Specific 30%,Ministry of Textiles,Comprehensive Handloom weavers Scheme,0.62
2018-19,Women Specific 30%,Ministry of Textiles,Comprehensive Handloom weavers Scheme,38.05
2018-19,Women Specific 30%,Ministry of Textiles,Ambedkar Hastshilip Vikas Yojna,0.86
2018-19,Women Specific 30%,Ministry of Textiles,Design and Technology Upgradation,16.94
2018-19,Women Specific 30%,Ministry of Textiles,Marketing Support Service and Export Promotion,9.28
2018-19,Women Specific 30%,Ministry of Textiles,Research and Development,0.97
2018-19,Women Specific 30%,Ministry of Textiles,Research and Development,4.35
2018-19,Women Specific 30%,Ministry of Textiles,Human Resource Development Scheme,5.1
2018-19,Women Specific 30%,Ministry of Textiles,National Handloom Development Programme,28.61
2018-19,Women Specific 30%,Ministry of Textiles,Integrated Wool Development,6.0
2018-19,Women Specific 30%,Ministry of Textiles,Ministry of Textiles Total,291.16
2018-19,Women Specific 30%,Ministry of Tribal Affairs,Post Matric Scholarship,494.27
2018-19,Women Specific 30%,Ministry of Tribal Affairs,"Tribal Festivals, Research information and mass Education",93.45
2018-19,Women Specific 30%,Ministry of Tribal Affairs,Special Central Asistance to Tribal Sub Plan,404.94
2018-19,Women Specific 30%,Ministry of Tribal Affairs,Special Central Asistance to Tribal Sub Plan,545.95
2018-19,Women Specific 30%,Ministry of Tribal Affairs,National Fellowship and Scholarship for Higher Education of ST Students,29.99
2018-19,Women Specific 30%,Ministry of Tribal Affairs,Scholarship to the ST students for Studies abroad,0.6
2018-19,Women Specific 30%,Ministry of Tribal Affairs,Eklavya Model Residential School,0.0
2018-19,Women Specific 30%,Ministry of Tribal Affairs,Aid to Voluntary Organizations working for the welfare of Scheduled Tribes,0.0
2018-19,Women Specific 30%,Ministry of Tribal Affairs,Development of Particularly Vulnerable Tribal Groups (PVTGs),0.0
2018-19,Women Specific 30%,Ministry of Tribal Affairs,Vanbandhu Kalyan Yojana,0.0
2018-19,Women Specific 30%,Ministry of Tribal Affairs,Scheme under proviso to Article 275 (1) of the Constitution,0.0
2018-19,Women Specific 30%,Ministry of Tribal Affairs,Ministry of Tribal Affairs Total,1569.2
2018-19,Women Specific 100% ,Ministry of Women and Child Development,Pradhan Mantri Matru Vandana Yojana,1054.9
2018-19,Women Specific 100% ,Ministry of Women and Child Development,One Stop Centre,149.23
2018-19,Women Specific 100% ,Ministry of Women and Child Development,One Stop Centre,1.94
2018-19,Women Specific 100% ,Ministry of Women and Child Development,Beti Bachao Beti Padhao,244.73
2018-19,Women Specific 100% ,Ministry of Women and Child Development,Women Helpline,11.89
2018-19,Women Specific 100% ,Ministry of Women and Child Development,Central Social Welfare Board,82.48
2018-19,Women Specific 100% ,Ministry of Women and Child Development,Rashtriya Mahila Kosh,0.0
2018-19,Women Specific 100% ,Ministry of Women and Child Development,Rashtriya Mahila Kosh,22.92
2018-19,Women Specific 100% ,Ministry of Women and Child Development,National Commission for Women,205.01
2018-19,Women Specific 100% ,Ministry of Women and Child Development,Mahila Shakti Kendra,65.34
2018-19,Women Specific 100% ,Ministry of Women and Child Development,Swadhar Greh,24.5
2018-19,Women Specific 100% ,Ministry of Women and Child Development,Swadhar Greh,4.47
2018-19,Women Specific 100% ,Ministry of Women and Child Development,Ujjawala,6.43
2018-19,Women Specific 100% ,Ministry of Women and Child Development,Working Women Hostel,30.35
2018-19,Women Specific 100% ,Ministry of Women and Child Development,"Gender Budgeting and Research, Publication and Monitoring",5.75
2018-19,Women Specific 100% ,Ministry of Women and Child Development,Mahila Police Volunteer,4.48
2018-19,Women Specific 100% ,Ministry of Women and Child Development,Home for Widows,1.58
2018-19,Women Specific 100% ,Ministry of Women and Child Development,Ministry of Women and Child Development Total,1916.0
2018-19,Women Specific 30%,Ministry of Women and Child Development,Anganwadi Services,10123.44
2018-19,Women Specific 30%,Ministry of Women and Child Development,National Nutrition Mission,1590.78
2018-19,Women Specific 30%,Ministry of Women and Child Development,National Nutrition Mission,71.3
2018-19,Women Specific 30%,Ministry of Women and Child Development,National Creche Scheme,29.76
2018-19,Women Specific 30%,Ministry of Women and Child Development,National Institute of Public Cooperation and Child Development,59.41
2018-19,Women Specific 30%,Ministry of Women and Child Development,National Institute of Public Cooperation and Child Development,4.2
2018-19,Women Specific 30%,Ministry of Women and Child Development,National Child Rights (NCPCR),7.9
2018-19,Women Specific 30%,Ministry of Women and Child Development,National Child Rights (NCPCR),622.67
2018-19,Women Specific 30%,Ministry of Women and Child Development,Ministry of Women and Child Development Total,12509.46
2018-19,Women Specific 30%,Ministry of Youth Affairs and Sports,Scouting and Guiding,0.45
2018-19,Women Specific 30%,Ministry of Youth Affairs and Sports,Rajiv Gandhi National Institute of Youth Development,5.95
2018-19,Women Specific 30%,Ministry of Youth Affairs and Sports,Scheme of Human Resource Development in Sports,0.95
2018-19,Women Specific 30%,Ministry of Youth Affairs and Sports,Scheme of Human Resource Development in Sports,6.57
2018-19,Women Specific 30%,Ministry of Youth Affairs and Sports,National Programme for Youth and Adolescent Development,10.61
2018-19,Women Specific 30%,Ministry of Youth Affairs and Sports,National Service Scheme,37.86
2018-19,Women Specific 30%,Ministry of Youth Affairs and Sports,Youth Hostel,0.47
2018-19,Women Specific 30%,Ministry of Youth Affairs and Sports,National Service Scheme,86.22
2018-19,Women Specific 30%,Ministry of Youth Affairs and Sports,Ministry of Youth Affairs and Sports Total,149.08
2018-19,Women Specific 100% ,Police,"Schemes like Day Care Centre, Gender Sensitization, Health and Nutritional Care Centre etc. of Sashastra Seema Bal",0.0
2018-19,Women Specific 100% ,Police,"Opening of Creche, Day Care Centre, Gender Sensitization, Health Care Centre, Nutritional Care Centre, Womens Rest rooms by ITBP",0.0
2018-19,Women Specific 100% ,Police,Women Training Programmes viz course on Self Development and Conflict Mangement for women police officers of the rank of Dy SP to ASI,0.0
2018-19,Women Specific 100% ,Police,Washing Drying/ Women laudry,0.0
2018-19,Women Specific 100% ,Police,"Organising courses on crime against women vis a vis Human Rights, Juvenile Justice and Investigation of female feticide cases",0.0
2018-19,Women Specific 100% ,Police,Provision for the infrastructure in Womens Rest Room and creche and for women health care centres,0.0
2018-19,Women Specific 100% ,Police,Provision for the infrastructure in Womens Rest Room and creche and for women health care centres,848.66
2018-19,Women Specific 100% ,Police,"Creche Facilities, Yoga Centre and Health Mela",0.0
2018-19,Women Specific 100% ,Police,Nutritional Health Care for Women Trainee and Women employees of CDTs,0.0
2018-19,Women Specific 100% ,Police,Women Specific Programme of BSF,0.0
2018-19,Women Specific 100% ,Police,Women Specific Programme of Assam Rifles,0.0
2018-19,Women Specific 100% ,Police,"Organising the Workshop/ Seminar on Trafficking in persons role of Police, in the States to sensitise Police Officers",0.0
2018-19,Women Specific 100% ,Police,Police Total,848.66
2018-19,Women Specific 30%,Police,"Opening of Creche, Day Care Centre, Gender Sensitization, Health Care Centre, Nutritional Care Centre, Womens Rest rooms by ITBP",0.0
2018-19,Women Specific 30%,Police,Pandit Gobin Ballabh Pant Award Scheme for books in Hindi,0.0
2018-19,Women Specific 30%,Police,Police Total,0.0
2019-20,Women Specific 30%,Andaman and Nicobar Islands,Welfare of Senior Citizens,45.8
2019-20,Women Specific 30%,Atomic Energy,Women and Child Welfare,24.0
2019-20,Women Specific 100% ,Chandigarh,Women Empowerment,14.36
2019-20,Women Specific 100% ,Chandigarh,"Women Polytechnic, Girls Hostel",6.97
2019-20,Women Specific 100% ,Chandigarh,"Incentives to girls students, women education, working women hostel, and laptop and bycycle to girls students",23.99
2019-20,Women Specific 100% ,Chandigarh,Government ITI for women,3.69
2019-20,Women Specific 100% ,Chandigarh,Assistance to SC Women,0.02
2019-20,Women Specific 100% ,Chandigarh,"Creches, Aganwadi Centre, Apni Beti Apna Dhan Scheme, National Family Benefits Schemes etc.",14.36
2019-20,Women Specific 100% ,Chandigarh,Upgradation of CHC,4.81
2019-20,Women Specific 100% ,Chandigarh,Chandigarh Total,68.2
2019-20,Women Specific 30%,Chandigarh,"Nutrition Programme, Old age pension, Disability pension , Social Welfare etc.",28.98
2019-20,Women Specific 100% ,Dadra and Nagar Haveli and Daman and Diu,"Nutrition Programme, Old age pension, Disability pension , Social Welfare etc.",10.48
2019-20,Women Specific 100% ,Dadra and Nagar Haveli and Daman and Diu,Women Welfare Scheme,0.3
2019-20,Women Specific 100% ,Dadra and Nagar Haveli and Daman and Diu,"Scholarship, Health Insurance, Free Bicycle, Sukanya Satkar Yojana for U.T of Dadra and Nagar Haveli and Daman and Diu",0.0
2019-20,Women Specific 100% ,Dadra and Nagar Haveli and Daman and Diu,"Assistance, Training, Balika Shivir, Empowerment and Education for UT of Dadra and Nagar Haveli and Daman and Diu",0.0
2019-20,Women Specific 100% ,Dadra and Nagar Haveli and Daman and Diu,Dadra and Nagar Haveli and Daman and Diu Total,10.78
2019-20,Women Specific 30%,Dadra and Nagar Haveli and Daman and Diu,Women Welfare Scheme,0.01
2019-20,Women Specific 30%,Dadra and Nagar Haveli and Daman and Diu,"Assistance, Training, Balika Shivir, Empowerment and Education",5.82
2019-20,Women Specific 30%,Dadra and Nagar Haveli and Daman and Diu,Assistance to Widows,0.5
2019-20,Women Specific 30%,Dadra and Nagar Haveli and Daman and Diu,Dadra and Nagar Haveli and Daman and Diu Total,6.33
2019-20,Women Specific 100% ,Department of Agricultural Research and Education,"Central Institute for Women in Agriculture, Bhubaneshwar",7.32
2019-20,Women Specific 100% ,Department of Agricultural Research and Education,"Central Institute for Women in Agriculture, Bhubaneshwar",5.72
2019-20,Women Specific 100% ,Department of Agricultural Research and Education,Department of Agricultural Research and Education Total,13.04
2019-20,Women Specific 100% ,Department of Agricultural Research and Education,Women Empowerment,26.25
2019-20,Women Specific 30%,"Department of Agriculture, Cooperation and Farmers Welfare",Mission for Integrated Development of Horticulture,0.0
2019-20,Women Specific 30%,"Department of Agriculture, Cooperation and Farmers Welfare",Sub-Mission on Agriculture Extension,0.0
2019-20,Women Specific 30%,"Department of Agriculture, Cooperation and Farmers Welfare",Sub-Mission on Agriculture Mechanisation,0.0
2019-20,Women Specific 30%,"Department of Agriculture, Cooperation and Farmers Welfare",Sub-Mission on Seed and Planting Material,0.0
2019-20,Women Specific 30%,"Department of Agriculture, Cooperation and Farmers Welfare",Organic Value Chain Development for North Eastern Resion,0.0
2019-20,Women Specific 30%,"Department of Agriculture, Cooperation and Farmers Welfare",Rainfed Area Development and Climate change,0.0
2019-20,Women Specific 30%,"Department of Agriculture, Cooperation and Farmers Welfare",Parampragat Krishi Vikas Yojna,0.0
2019-20,Women Specific 30%,"Department of Agriculture, Cooperation and Farmers Welfare",Rashtriya Krishi Vikas Yojna,0.0
2019-20,Women Specific 30%,"Department of Agriculture, Cooperation and Farmers Welfare",Pradhan Mantri Krishi Sinchai Yojna-Per-Drop More Crop,0.0
2019-20,Women Specific 30%,"Department of Agriculture, Cooperation and Farmers Welfare","Department of Agriculture, Cooperation and Farmers Welfare Total",0.0
2019-20,Women Specific 30%,Department of Animal Husbandry and Dairying,Dairy Entrepreneurship Development,0.0
2019-20,Women Specific 30%,Department of Animal Husbandry and Dairying,National Livestock Mission,0.0
2019-20,Women Specific 30%,Department of Animal Husbandry and Dairying,Department of Animal Husbandry and Dairying Total,0.0
2019-20,Women Specific 30%,Department of Commerce,Women Welfare Activities in Plantation Boards,0.0
2019-20,Women Specific 30%,Department of Drinking Water and Sanitation,Swachh Bharat Mission (Gramin),0.0
2019-20,Women Specific 30%,Department of Empowerment of Persons with Disabilities,Center for Disability Sports,4.92
2019-20,Women Specific 30%,Department of Empowerment of Persons with Disabilities,Center for Disability Sports,64.15
2019-20,Women Specific 30%,Department of Empowerment of Persons with Disabilities,Support to Braille Presss,0.26
2019-20,Women Specific 30%,Department of Empowerment of Persons with Disabilities,Support to National Trust,6.0
2019-20,Women Specific 30%,Department of Empowerment of Persons with Disabilities,Pre Matric Scholarship,18.0
2019-20,Women Specific 30%,Department of Empowerment of Persons with Disabilities,National Handicapped Finance and Develolpment Corporation,0.28
2019-20,Women Specific 30%,Department of Empowerment of Persons with Disabilities,National Institute for Disabled Persons,69.98
2019-20,Women Specific 30%,Department of Empowerment of Persons with Disabilities,National Institute for Disabled Persons,1.26
2019-20,Women Specific 30%,Department of Empowerment of Persons with Disabilities,Indian Spinal Injury Centre,0.0
2019-20,Women Specific 30%,Department of Empowerment of Persons with Disabilities,Implimentation of the Persons with Disabilities Act 1995,65.2
2019-20,Women Specific 30%,Department of Empowerment of Persons with Disabilities,Implimentation of the Persons with Disabilities Act 1995,30.48
2019-20,Women Specific 30%,Department of Empowerment of Persons with Disabilities,Office of the Chief Commissioner for Handicapped,0.79
2019-20,Women Specific 30%,Department of Empowerment of Persons with Disabilities,Information and Mass Communication Cell,1.99
2019-20,Women Specific 30%,Department of Empowerment of Persons with Disabilities,Information and Mass Communication Cell,1.5
2019-20,Women Specific 30%,Department of Empowerment of Persons with Disabilities,National Institute / Centre Universal Design,5.18
2019-20,Women Specific 30%,Department of Empowerment of Persons with Disabilities,Scholarships for Stdents with Disabilities,28.55
2019-20,Women Specific 30%,Department of Empowerment of Persons with Disabilities,Department of Empowerment of Persons with Disabilities Total,298.54
2019-20,Women Specific 30%,Department of Fisheries,Pradhan Mantri Matsya Sampada Yojana,0.0
2019-20,Women Specific 30%,Department of Health and Family Welfare,National Urban Health Mission Flexible Pool,515.25
2019-20,Women Specific 30%,Department of Health and Family Welfare,National Urban Health Mission Flexible Pool,202.43
2019-20,Women Specific 30%,Department of Health and Family Welfare,AIIMS New Delhi,1345.98
2019-20,Women Specific 30%,Department of Health and Family Welfare,Lady Hardinge Medical College and Smt. S.K. Hospital,306.45
2019-20,Women Specific 30%,Department of Health and Family Welfare,"Post Graduate Institute of Medical Education and Research, Chandigarh",501.75
2019-20,Women Specific 30%,Department of Health and Family Welfare,JIPMER Puducherry,516.23
2019-20,Women Specific 30%,Department of Health and Family Welfare,Development of Nursing Services,11.93
2019-20,Women Specific 30%,Department of Health and Family Welfare,"National Institute of Mental Health and Neuro Sciences, Bengaluru",136.02
2019-20,Women Specific 30%,Department of Health and Family Welfare,"All India Instutute of Speech and hearing, Mysore",46.36
2019-20,Women Specific 30%,Department of Health and Family Welfare,Discretionary Grant,1.04
2019-20,Women Specific 30%,Department of Health and Family Welfare,National Medical Library,10.67
2019-20,Women Specific 30%,Department of Health and Family Welfare,Central Government Health Scheme,540.69
2019-20,Women Specific 30%,Department of Health and Family Welfare,National AIDS Control Programme,843.92
2019-20,Women Specific 30%,Department of Health and Family Welfare,Central Government Health Scheme,744.26
2019-20,Women Specific 30%,Department of Health and Family Welfare,Flexible Pool for Communicable Diseases,5055.0
2019-20,Women Specific 30%,Department of Health and Family Welfare,Infrastructure Mainintenancae,5864.58
2019-20,Women Specific 30%,Department of Health and Family Welfare,Safdarjung Hospital and Vardhman Mahaveer Medical College New Delhi,568.92
2019-20,Women Specific 30%,Department of Health and Family Welfare,Dr. RML Hospital,234.77
2019-20,Women Specific 30%,Department of Health and Family Welfare,Dr. RML Hospital,21.67
2019-20,Women Specific 30%,Department of Health and Family Welfare,Contraception,91.22
2019-20,Women Specific 30%,Department of Health and Family Welfare,Health System Strengthening under NRHM,6435.08
2019-20,Women Specific 30%,Department of Health and Family Welfare,Ayushman Bharat - Pradhan Mantri Jan Arogya Yojana (PMJAY),960.0
2019-20,Women Specific 30%,Department of Health and Family Welfare,Department of Health and Family Welfare Total,24954.22
2019-20,Women Specific 100% ,Department of Health Research,Research Studies by ICMR,0.0
2019-20,Women Specific 30%,Department of Health Research,Research Studies by ICMR,0.0
2019-20,Women Specific 30%,Department of Health Research,Human Resource and Capacity Development,9.5
2019-20,Women Specific 30%,Department of Health Research,Department of Health Research Total,9.5
2019-20,Women Specific 100% ,Department of Higher Education,Prime Ministers Girls Hostel,20.0
2019-20,Women Specific 30%,Department of Higher Education,Indira Gandhi National Open University,35.2
2019-20,Women Specific 30%,Department of Higher Education,National Institutes of Technical Teachers Training and Research,56.14
2019-20,Women Specific 30%,Department of Higher Education,Scholarship for College and University Students,112.36
2019-20,Women Specific 30%,Department of Higher Education,Scholarship for College and University Students,33.41
2019-20,Women Specific 30%,Department of Higher Education,Support to Indian Institutes of Technology,2037.09
2019-20,Women Specific 30%,Department of Higher Education,Support to Indian Institutes of Management,154.01
2019-20,Women Specific 30%,Department of Higher Education,Support to Indian Institutes of Management,19.38
2019-20,Women Specific 30%,Department of Higher Education,"Indian School of Mines, Dhanbad",1115.71
2019-20,Women Specific 30%,Department of Higher Education,Grants for promotion of Indian languages,139.08
2019-20,Women Specific 30%,Department of Higher Education,Grants for promotion of Indian languages,182.26
2019-20,Women Specific 30%,Department of Higher Education,Indian Institutes of Science Education and Research,198.46
2019-20,Women Specific 30%,Department of Higher Education,Interest Subsidy and Contribution to Guarantee Fund,535.97
2019-20,Women Specific 30%,Department of Higher Education,"Assistance to other Institutes including SLIET, NERIST, NIFFT Ranchi and CIT Kokrajhar",114.27
2019-20,Women Specific 30%,Department of Higher Education,Schools of Planning and Architecture,32.42
2019-20,Women Specific 30%,Department of Higher Education,Rashtriya Uchchatar Shiksha Abhiyan (RUSA),408.9
2019-20,Women Specific 30%,Department of Higher Education,e-Shodh Sindhu,72.85
2019-20,Women Specific 30%,Department of Higher Education,National Initiative for Excellence for Humanities and Social Sciences,62.32
2019-20,Women Specific 30%,Department of Higher Education,Setting up of new Indian Institutes of Management,8.9
2019-20,Women Specific 30%,Department of Higher Education,Department of Higher Education Total,9524.17
2019-20,Women Specific 100% ,Department of Posts,Estate Management,0.0
2019-20,Women Specific 100% ,Department of Rural Development,Rural Housing (Pradhan Mantri Awaas Yojana),18116.02
2019-20,Women Specific 100% ,Department of Rural Development,Indira Gandhi National Widow Pension Scheme,1774.94
2019-20,Women Specific 100% ,Department of Rural Development,DBT to PMJDY Women Accounts Holder,0.0
2019-20,Women Specific 100% ,Department of Rural Development,Department of Rural Development Total,19890.96
2019-20,Women Specific 30%,Department of Rural Development,National Rural Livelihood Mission-Aajeevika,4494.78
2019-20,Women Specific 30%,Department of Rural Development,Mahatma Gandhi National Rural Employment Guarantee Scheme,23893.1
2019-20,Women Specific 30%,Department of Rural Development,Department of Rural Development Total,28387.88
2019-20,Women Specific 100% ,Department of School Education and Literacy,National Scheme for Incentive to Girl Child for Secondary Education,8.56
2019-20,Women Specific 30%,Department of School Education and Literacy,Rashtriya Madhyamik Shiksha Abhiyan,2909.7
2019-20,Women Specific 30%,Department of School Education and Literacy,Education Scheme for Madrassas and Minorities,21.28
2019-20,Women Specific 30%,Department of School Education and Literacy,Kendriya Vidyalaya Sangathan,1899.42
2019-20,Women Specific 30%,Department of School Education and Literacy,Navodaya Vidyalaya Samiti,1016.28
2019-20,Women Specific 30%,Department of School Education and Literacy,Navodaya Vidyalaya Samiti,9712.96
2019-20,Women Specific 30%,Department of School Education and Literacy,Department of School Education and Literacy Total,15559.64
2019-20,Women Specific 100% ,Department of Science and Technology,DISHA Programme for women in science,79.1
2019-20,Women Specific 30%,Department of Scientific and Industrial Research,Industrial Research and Development,0.43
2019-20,Women Specific 30%,Department of Social Justice and Empowerment,Girls Hostel for SCs,10.2
2019-20,Women Specific 30%,Department of Social Justice and Empowerment,Assistance to Voluntary Organisations for OBCs,6.39
2019-20,Women Specific 30%,Department of Social Justice and Empowerment,Post Matric Scholarship for OBCs,389.76
2019-20,Women Specific 30%,Department of Social Justice and Empowerment,Scheme for Educational and Economical Development of Denotified and Nomadic Tribes,2.7
2019-20,Women Specific 30%,Department of Social Justice and Empowerment,Scheme for Educational and Economical Development of Denotified and Nomadic Tribes,813.39
2019-20,Women Specific 30%,Department of Social Justice and Empowerment,Post Matric Scholarship for SCs,3.98
2019-20,Women Specific 30%,Department of Social Justice and Empowerment,Pradhan Mantri Adarsh Gram Yojana,215.39
2019-20,Women Specific 30%,Department of Social Justice and Empowerment,"Strengthening of Machinery for Enforcement of PCR Act, 1955 and PoA Act, 1989",185.89
2019-20,Women Specific 30%,Department of Social Justice and Empowerment,Pre Matric Scholarship for Children of Those Engaged in Unclean Occupations,8.82
2019-20,Women Specific 30%,Department of Social Justice and Empowerment,State Scheduled Castes Development Corporations,6.0
2019-20,Women Specific 30%,Department of Social Justice and Empowerment,State Scheduled Castes Development Corporations,4.38
2019-20,Women Specific 30%,Department of Social Justice and Empowerment,Special Central Assistance to SC Sub Component,334.42
2019-20,Women Specific 30%,Department of Social Justice and Empowerment,National Safai Karamcharis Finance and Development Corporation,10.5
2019-20,Women Specific 30%,Department of Social Justice and Empowerment,National Safai Karamcharis Finance and Development Corporation,74.0
2019-20,Women Specific 30%,Department of Social Justice and Empowerment,Self Employment Scheme for Liberation and Rehabilitation of Manual Scavengers,25.44
2019-20,Women Specific 30%,Department of Social Justice and Empowerment,Self Employment Scheme for Liberation and Rehabilitation of Manual Scavengers,9.83
2019-20,Women Specific 30%,Department of Social Justice and Empowerment,National Overseas Scholarship for SCs,11.91
2019-20,Women Specific 30%,Department of Social Justice and Empowerment,Assistance to Voluntary Organisations for Providing Social Defence Services,0.9
2019-20,Women Specific 30%,Department of Social Justice and Empowerment,Assistance to Voluntary Organizations under Scheme of Integrated Programme for Older Persons,6.34
2019-20,Women Specific 30%,Department of Social Justice and Empowerment,Integrated Programme for Rehabilitation of Beggars,46.62
2019-20,Women Specific 30%,Department of Social Justice and Empowerment,Pre Matric Scholarship for OBCs,60.43
2019-20,Women Specific 30%,Department of Social Justice and Empowerment,Pre Matric Scholarship for OBCs,20.15
2019-20,Women Specific 30%,Department of Social Justice and Empowerment,Pre Matric Scholarship for SCs and Others,105.81
2019-20,Women Specific 30%,Department of Social Justice and Empowerment,Pre Matric Scholarship for SCs,48.0
2019-20,Women Specific 30%,Department of Social Justice and Empowerment,Venture Capital Fund for SCs,6.77
2019-20,Women Specific 30%,Department of Social Justice and Empowerment,Post Matric Scholarship for EBCs,4.2
2019-20,Women Specific 30%,Department of Social Justice and Empowerment,Post Matric Scholarship for EBCs,7.83
2019-20,Women Specific 30%,Department of Social Justice and Empowerment,National Overseas Scholarship for OBCs,15.75
2019-20,Women Specific 30%,Department of Social Justice and Empowerment,Boys and Girls Hostels for SCs,7.5
2019-20,Women Specific 30%,Department of Social Justice and Empowerment,National Action Plan for Sr. Citizens,42.5
2019-20,Women Specific 30%,Department of Social Justice and Empowerment,"Pradhan Mantri Young Achievers Scholarship Award Scheme for Vibrant India (PM YASASVI) for OBCs, EBCs and DNTs",0.0
2019-20,Women Specific 30%,Department of Social Justice and Empowerment,"Post Matric Scholarship for OBCs, EBCs and DNTs",0.0
2019-20,Women Specific 30%,Department of Social Justice and Empowerment,"Pre Matric Scholarship for OBCs, EBCs and DNTs",0.0
2019-20,Women Specific 30%,Department of Social Justice and Empowerment,Pradhan Mantri Anusuchit Jaati Abhyuday Yojana (PM AJAY),0.0
2019-20,Women Specific 30%,Department of Social Justice and Empowerment,Support for Marginalized Individuals for Livelihood and Enterprise (SMILE),0.0
2019-20,Women Specific 30%,Department of Social Justice and Empowerment,Comprehensive Rehabilitation of Persons Engaged in the Act of Begging,0.0
2019-20,Women Specific 30%,Department of Social Justice and Empowerment,Atal Vayo Abhyuday Yojana,0.0
2019-20,Women Specific 30%,Department of Social Justice and Empowerment,Scheme of Residential Education for Students in High School in Targeted Area (SRESHTA) for SCs,0.0
2019-20,Women Specific 30%,Department of Social Justice and Empowerment,Pradhan Mantri Dakshta Aur Kushalta Sampann Hitgrahi (PM-DAKSH) Yojana,0.0
2019-20,Women Specific 30%,Department of Social Justice and Empowerment,Scholarships for Higher Education for Young Achievers Scheme (SHREYAS) for SCs,0.0
2019-20,Women Specific 30%,Department of Social Justice and Empowerment,Scholarships for Higher Education for Young Achievers Scheme (SHREYAS) for OBCs and EBCs,0.0
2019-20,Women Specific 30%,Department of Social Justice and Empowerment,National Fellowship for OBCs,0.0
2019-20,Women Specific 30%,Department of Social Justice and Empowerment,Interest Subsidy on Overseas Studies of OBCs and EBCs,0.0
2019-20,Women Specific 30%,Department of Social Justice and Empowerment,Department of Social Justice and Empowerment Total,2485.8
2019-20,Women Specific 100% ,Ladakh,Women in Distress,0.0
2019-20,Women Specific 100% ,Ladakh,Assistance for Marriage,0.0
2019-20,Women Specific 100% ,Ladakh,Ladakh Total,0.0
2019-20,Women Specific 100% ,Lakshadweep,Scheme for child and women development,5.57
2019-20,Women Specific 30%,Lakshadweep,Welfare and pension scheme,5.45
2019-20,Women Specific 30%,Lakshadweep,Special nutrition programme,0.55
2019-20,Women Specific 30%,Lakshadweep,Lakshadweep Total,6.0
2019-20,Women Specific 100% ,Law and Justice,Fast Track Courts,0.0
2019-20,Women Specific 100% ,Ministry of AYUSH,"North Eastern Institute of Ayurveda and Homeopathy, Shillong",0.0
2019-20,Women Specific 100% ,Ministry of AYUSH,Central Council For Research in Siddha (CCRS),0.0
2019-20,Women Specific 100% ,Ministry of AYUSH,Central Council for Research in Ayurvedic Sciences (CCRAS),0.0
2019-20,Women Specific 100% ,Ministry of AYUSH,Central Council for Research in Unani Medicine,0.0
2019-20,Women Specific 100% ,Ministry of AYUSH,National Institute of Ayurveda,0.0
2019-20,Women Specific 100% ,Ministry of AYUSH,Ministry of AYUSH Total,0.0
2019-20,Women Specific 30%,Ministry of AYUSH,Central Council For Research in Siddha (CCRS),0.0
2019-20,Women Specific 30%,Ministry of AYUSH,Rashtriya Ayurveda Vidyapeeth (RAV),0.0
2019-20,Women Specific 30%,Ministry of AYUSH,Central Council for Research in Ayurvedic Sciences (CCRAS),0.0
2019-20,Women Specific 30%,Ministry of AYUSH,Central Council for Research in Homoeopathy (CCRH),0.0
2019-20,Women Specific 30%,Ministry of AYUSH,Central Council for Research in Unani Medicine,0.0
2019-20,Women Specific 30%,Ministry of AYUSH,National Institute of Ayurveda,0.0
2019-20,Women Specific 30%,Ministry of AYUSH,National Institute of Naturopathy,0.0
2019-20,Women Specific 30%,Ministry of AYUSH,Ministry of AYUSH Total,0.0
2019-20,Women Specific 30%,Ministry of Culture,Financial Assistance for Promotion of Art and Culture,16.08
2019-20,Women Specific 30%,Ministry of Culture,Fellowship Scheme,3.15
2019-20,Women Specific 30%,Ministry of Culture,Zonal Cultural Centres,12.13
2019-20,Women Specific 30%,Ministry of Culture,Zonal Cultural Centres,2.1
2019-20,Women Specific 30%,Ministry of Culture,Ministry of Culture Total,33.46
2019-20,Women Specific 100% ,Ministry of Development of North Eastern Region,Schemes of North Eastern Council,18.18
2019-20,Women Specific 30%,Ministry of Development of North Eastern Region,Schemes of North East Council,100.33
2019-20,Women Specific 30%,Ministry of Earth Sciences,"Oceans Services, Technology, Observations, Resources modelling and Science (O-STORMS)",0.0
2019-20,Women Specific 30%,Ministry of Earth Sciences,"Research, Education and Training Outreach (REACHOUT)",0.0
2019-20,Women Specific 30%,Ministry of Earth Sciences,Ministry of Earth Sciences Total,0.0
2019-20,Women Specific 30%,Ministry of Electronics and Information Technology,Digital India Programme,2.7
2019-20,Women Specific 30%,Ministry of Electronics and Information Technology,Pradhan Mantri Gramin Digital Sakshrta Abhiyan,0.0
2019-20,Women Specific 30%,Ministry of Electronics and Information Technology,Ministry of Electronics and Information Technology Total,2.7
2019-20,Women Specific 100% ,Ministry of External Affairs,"Double storied Maternity Ward and a single storied Emergency Block for Sagarmatha zonal Hospital, Rajbiraj, Saptari",0.0
2019-20,Women Specific 100% ,Ministry of External Affairs,"Girls Hostel Building and Compound Wall of Nepal APF School, Kirtipur, Kathmandu District.",0.3
2019-20,Women Specific 100% ,Ministry of External Affairs,Women Empowerment Programme in Darchula District,0.0
